#pl_name,hostname,label,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,my_label
Kepler-32 c,Kepler-32,,0,1,5,Transit,1,Published Confirmed,0,8.752,,,0,,,,,2.02,0.11,-0.11,0.0,0.18,0.01,-0.01,0.0,7.7,5.0,-3.8,0,0.024,0.016,-0.012,0,Mass,,,,,,,,,,,,,1,,,,,,0.53,,,0.0,0.57,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m22.15s,297.8423073,+46d34m27.69s,46.5743595,323.847,3.4025,-3.4025,
Kepler-33 d,Kepler-33,,0,1,5,Transit,1,Published Confirmed,0,21.776,,,0,,,,,4.6,1.0,-0.9,0.0,0.41,0.089,-0.08,0.0,4.1,1.7,-2.0,0,0.0129,0.00535,-0.00629,0,Mass,,,,,,,,,,,,,1,,,,,,,,,,1.1,0.1,-0.1,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m18.61s,289.0775348,+46d00m18.61s,46.0051696,1209.16,22.195,-22.195,
HATS-4 b,HATS-4,,0,1,1,Transit,1,Published Confirmed,0,2.516729,2e-06,-2e-06,0,0.03623,0.00024,-0.00025,0.0,11.433,0.415,-0.415,0.0,1.02,0.037,-0.037,0.0,416.03947,12.7132,-12.39537,0,1.309,0.04,-0.039,0,Mass,0.024,,,1.0,,,,,,,,,0,,5403.0,50.0,-50.0,0.0,0.93,0.02,-0.02,0.0,1.0,0.02,-0.02,0.0,0.43,0.08,-0.08,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h16m26.90s,94.1120914,-22d32m48.78s,-22.5468824,416.459,2.726,-2.691,
Kepler-93 b,Kepler-93,,0,1,2,Transit,1,Published Confirmed,0,4.72673978,9.7e-07,-9.7e-07,0,,,,,1.478,0.019,-0.019,0.0,0.132,0.002,-0.002,0.0,3.8,1.5,-1.5,0,0.01196,0.00472,-0.00472,0,Mass,,,,,,,,,1037.0,13.0,-13.0,0.0,0,,5669.0,75.0,-75.0,0.0,0.92,0.01,-0.01,0.0,0.91,0.03,-0.03,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.47,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m40.35s,291.4181275,+38d40m20.32s,38.6723124,95.9115,0.2217,-0.2206,
Kepler-79 b,Kepler-79,,1,1,4,Transit,1,Published Confirmed,0,13.4845,0.0002,-0.0002,0,0.117,0.002,-0.002,0.0,3.47,0.07,-0.07,0.0,0.31,0.006,-0.006,0.0,10.9,7.4,-6.0,0,0.0343,0.023,-0.019,0,Mass,0.015,0.012,-0.006,0.0,,,,,,,,,1,,6174.0,83.0,-117.0,0.0,1.3,0.03,-0.03,0.0,1.17,0.04,-0.04,0.0,-0.073,0.062,-0.009,0.0,[M/H],4.27,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h02m04.11s,300.5171067,+44d22m53.58s,44.3815508,1020.72,17.075,-17.075,
WASP-45 b,WASP-45,,0,2,1,Transit,1,Published Confirmed,0,3.1260876,3.5e-06,-3.5e-06,0,0.04054,0.0009,-0.0009,0.0,13.002,3.138,-1.569,0.0,1.16,0.28,-0.14,0.0,320.041,16.844,-16.844,0,1.007,0.053,-0.053,0,Mass,0.0,,,0.0,,,,,,,,,0,,5140.0,200.0,,0.0,0.94,0.09,,0.0,0.91,0.06,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h20m57.06s,5.2377567,-35d59m54.47s,-35.998465,211.196,1.766,-1.737,
WASP-22 b,WASP-22,,0,1,1,Transit,1,Published Confirmed,0,3.5327313,5.8e-06,-5.8e-06,0,0.047,0.00036,-0.00037,0.0,12.98,0.684,-0.426,0.0,1.158,0.061,-0.038,0.0,181.1631,5.40311,-5.08528,0,0.57,0.017,-0.016,0,Mass,0.021,,,1.0,,,,,,,,,0,,6000.0,100.0,-100.0,0.0,1.22,0.05,-0.03,0.0,1.11,0.03,-0.03,0.0,0.05,0.08,-0.08,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h31m16.33s,52.8180374,-23d49m11.25s,-23.8197924,317.652,5.638,-5.447,
Kepler-79 c,Kepler-79,,1,1,4,Transit,1,Published Confirmed,0,27.4029,0.0008,-0.0006,0,0.187,0.002,-0.003,0.0,3.72,0.08,-0.08,0.0,0.332,0.007,-0.007,0.0,5.9,1.9,-2.3,0,0.019,0.006,-0.0072,0,Mass,0.03,0.027,-0.021,0.0,,,,,,,,,1,,6174.0,83.0,-117.0,0.0,1.3,0.03,-0.03,0.0,1.17,0.04,-0.04,0.0,-0.073,0.062,-0.009,0.0,[M/H],4.27,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h02m04.11s,300.5171067,+44d22m53.58s,44.3815508,1020.72,17.075,-17.075,
Kepler-60 d,Kepler-60,,0,1,3,Transit,1,Published Confirmed,0,11.899,,,0,,,,,1.6,0.3,-0.3,0.0,0.143,0.027,-0.027,0.0,3.9,0.7,-0.6,0,0.01227,0.0022,-0.00189,0,Mass,,,,,,,,,,,,,1,,,,,,,,,,1.0,0.1,-0.1,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m50.70s,288.9612535,+42d15m54.17s,42.2650472,1025.1,19.97,-19.22,
Kepler-10 c,Kepler-10,,0,1,2,Transit,1,Published Confirmed,0,45.29485,0.00065,-0.00076,0,0.2407,0.0044,-0.0053,0.0,2.227,0.052,-0.053,0.0,0.199,0.005,-0.005,0.0,20.0,,,1,0.063,,,1,Mass,0.0,,,0.0,,,,,485.0,,,0.0,1,,5627.0,44.0,-44.0,0.0,1.06,0.02,-0.02,0.0,0.9,0.06,-0.06,0.0,-0.15,0.04,-0.04,0.0,[Fe/H],4.34,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,185.506,0.811,-0.805,
Kepler-114 b,Kepler-114,,0,1,3,Transit,1,Published Confirmed,0,5.189,,,0,,,,,1.02,0.11,-0.11,0.0,0.091,0.01,-0.01,0.0,6.8,4.3,-3.6,0,0.021,0.014,-0.011,0,Mass,,,,,,,,,,,,,0,,,,,,0.54,,,0.0,0.56,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h36m29.16s,294.121482,+48d20m59.27s,48.3497977,259.533,1.3085,-1.3085,
TOI-677 b,TOI-677,,1,1,1,Transit,1,Published Confirmed,0,11.2366,0.00011,-0.00011,0,0.1038,0.0017,-0.0017,0.0,13.115,0.336,-0.336,0.0,1.17,0.03,-0.03,0.0,392.83788,21.93027,-21.29461,0,1.236,0.069,-0.067,0,Mass,0.435,0.024,-0.024,0.0,,,,,1252.0,21.0,-21.0,0.0,0,F8,6295.0,77.0,-77.0,0.0,1.28,0.03,-0.03,0.0,1.18,0.06,-0.06,0.0,0.0,0.05,-0.05,0.0,[Fe/H],4.29,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m28.65s,144.1193594,-50d27m47.14s,-50.4630933,141.812,0.622,-0.617,
Kepler-177 c,Kepler-177,,1,1,2,Transit,1,Published Confirmed,0,49.40926,0.00078,-0.00077,0,,,,,8.73,0.36,-0.34,0.0,0.779,0.032,-0.03,0.0,14.7,2.7,-2.5,0,0.04625,0.0085,-0.00787,0,Mass,0.0,,,0.0,25.4,1.6,-1.6,0.0,,,,,1,,5732.0,60.0,-60.0,0.0,1.32,0.05,-0.05,0.0,0.92,0.03,-0.02,0.0,-0.11,0.04,-0.04,0.0,[Fe/H],4.1,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m11.31s,286.0471442,+45d03m11.53s,45.0532038,1435.44,42.1,-39.81,
Kepler-219 d,Kepler-219,,0,1,3,Transit,1,Published Confirmed,0,47.904,,,0,,,,,2.51,0.63,-0.4,0.0,0.224,0.056,-0.036,0.0,19.1,29.9,-17.7,0,0.06,0.094,-0.056,0,Mass,,,,,,,,,,,,,0,,,,,,1.33,,,0.0,1.15,,,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.07,10.579,-10.579,
